x	y
13.5	38.5
13.5	39.5
13.5	40.5
13.5	41.5
13.5	42.5
13.5	43.5
13.5	44.5
13.5	45.5
13.5	46.5
13.5	47.5
13.5	48.5
13.5	49.5
13.5	50.5
13.5	51.5
13.5	52.5
13.5	53.5
13.5	54.5
13.5	55.5
13.5	59.5
14.5	25.5
14.5	26.5
14.5	28.5
14.5	30.5
14.5	31.5
14.5	32.5
14.5	33.5
14.5	34.5
14.5	35.5
14.5	36.5
14.5	37.5
14.5	38.5
14.5	39.5
14.5	40.5
14.5	41.5
14.5	42.5
14.5	43.5
14.5	44.5
14.5	45.5
14.5	46.5
14.5	47.5
14.5	48.5
14.5	49.5
14.5	50.5
14.5	51.5
14.5	52.5
14.5	53.5
14.5	54.5
14.5	55.5
15.5	25.5
15.5	27.5
15.5	28.5
15.5	30.5
15.5	31.5
15.5	32.5
15.5	33.5
15.5	34.5
15.5	35.5
15.5	36.5
15.5	37.5
15.5	38.5
15.5	39.5
15.5	40.5
15.5	41.5
15.5	42.5
15.5	43.5
15.5	44.5
15.5	45.5
15.5	46.5
15.5	47.5
15.5	48.5
15.5	49.5
15.5	50.5
15.5	51.5
15.5	52.5
15.5	53.5
15.5	54.5
16.5	25.5
16.5	26.5
16.5	27.5
16.5	28.5
16.5	29.5
16.5	30.5
16.5	31.5
16.5	32.5
16.5	33.5
16.5	34.5
16.5	35.5
16.5	36.5
16.5	37.5
16.5	38.5
16.5	39.5
16.5	40.5
16.5	41.5
16.5	42.5
16.5	43.5
16.5	44.5
16.5	45.5
16.5	46.5
16.5	47.5
16.5	48.5
16.5	49.5
16.5	50.5
16.5	51.5
16.5	52.5
16.5	53.5
16.5	54.5
17.5	25.5
17.5	26.5
17.5	27.5
17.5	28.5
17.5	29.5
17.5	30.5
17.5	31.5
17.5	32.5
17.5	33.5
17.5	34.5
17.5	35.5
17.5	36.5
17.5	37.5
17.5	38.5
17.5	39.5
17.5	40.5
17.5	41.5
17.5	42.5
17.5	43.5
17.5	44.5
17.5	45.5
17.5	46.5
17.5	47.5
17.5	48.5
17.5	49.5
17.5	50.5
17.5	51.5
17.5	52.5
17.5	53.5
17.5	54.5
17.5	58.5
18.5	25.5
18.5	26.5
18.5	27.5
18.5	28.5
18.5	29.5
18.5	30.5
18.5	31.5
18.5	32.5
18.5	33.5
18.5	34.5
18.5	35.5
18.5	36.5
18.5	37.5
18.5	38.5
18.5	39.5
18.5	40.5
18.5	41.5
18.5	42.5
18.5	43.5
18.5	44.5
18.5	45.5
18.5	46.5
18.5	47.5
18.5	48.5
18.5	49.5
18.5	50.5
18.5	51.5
18.5	52.5
18.5	53.5
19.5	25.5
19.5	26.5
19.5	27.5
19.5	28.5
19.5	29.5
19.5	30.5
19.5	31.5
19.5	32.5
19.5	33.5
19.5	34.5
19.5	35.5
19.5	36.5
19.5	37.5
19.5	38.5
19.5	39.5
19.5	40.5
19.5	41.5
19.5	42.5
19.5	43.5
19.5	44.5
19.5	45.5
19.5	46.5
19.5	47.5
19.5	48.5
19.5	49.5
19.5	50.5
19.5	51.5
19.5	52.5
20.5	25.5
20.5	26.5
20.5	27.5
20.5	28.5
20.5	29.5
20.5	30.5
20.5	31.5
20.5	32.5
20.5	33.5
20.5	34.5
20.5	35.5
20.5	36.5
20.5	37.5
20.5	38.5
20.5	39.5
20.5	40.5
20.5	41.5
20.5	42.5
20.5	43.5
20.5	44.5
20.5	45.5
20.5	46.5
20.5	47.5
20.5	48.5
20.5	49.5
20.5	50.5
20.5	51.5
20.5	52.5
21.5	25.5
21.5	26.5
21.5	27.5
21.5	28.5
21.5	29.5
21.5	30.5
21.5	31.5
21.5	32.5
21.5	33.5
21.5	34.5
21.5	35.5
21.5	36.5
21.5	37.5
21.5	38.5
21.5	39.5
21.5	40.5
21.5	41.5
21.5	42.5
21.5	43.5
21.5	44.5
21.5	45.5
21.5	46.5
21.5	47.5
21.5	48.5
21.5	49.5
21.5	51.5
22.5	25.5
22.5	26.5
22.5	27.5
22.5	28.5
22.5	29.5
22.5	30.5
22.5	31.5
22.5	32.5
22.5	33.5
22.5	34.5
22.5	35.5
22.5	36.5
22.5	37.5
22.5	38.5
22.5	39.5
22.5	40.5
22.5	41.5
22.5	42.5
22.5	43.5
22.5	44.5
22.5	45.5
22.5	46.5
22.5	47.5
22.5	48.5
22.5	49.5
22.5	50.5
23.5	25.5
23.5	26.5
23.5	27.5
23.5	28.5
23.5	29.5
23.5	30.5
23.5	31.5
23.5	32.5
23.5	33.5
23.5	34.5
23.5	35.5
23.5	36.5
23.5	37.5
23.5	38.5
23.5	39.5
23.5	40.5
23.5	41.5
23.5	42.5
23.5	43.5
23.5	44.5
23.5	45.5
23.5	46.5
23.5	47.5
23.5	48.5
23.5	50.5
24.5	31.5
24.5	32.5
24.5	33.5
24.5	34.5
24.5	35.5
24.5	36.5
24.5	37.5
24.5	38.5
24.5	39.5
24.5	40.5
24.5	41.5
24.5	42.5
24.5	43.5
24.5	44.5
24.5	45.5
24.5	46.5
24.5	49.5
25.5	31.5
25.5	32.5
25.5	33.5
25.5	34.5
25.5	35.5
25.5	36.5
25.5	37.5
25.5	38.5
25.5	39.5
25.5	40.5
25.5	41.5
25.5	42.5
25.5	43.5
25.5	44.5
25.5	45.5
25.5	46.5
25.5	47.5
25.5	48.5
25.5	49.5
26.5	39.5
26.5	40.5
26.5	41.5
26.5	42.5
26.5	43.5
26.5	44.5
26.5	45.5
26.5	46.5
26.5	47.5
26.5	48.5
27.5	39.5
27.5	40.5
27.5	41.5
27.5	42.5
27.5	43.5
27.5	44.5
27.5	47.5
27.5	49.5
28.5	39.5
28.5	41.5
28.5	42.5
28.5	43.5
28.5	44.5
28.5	46.5
29.5	46.5
